Nombre,Últ.,% Dif.,Máx.,Mín.,Volumen,Efectivo (miles €),Fecha,Hora,ISIN,Ticker,Nominal,Mercado,Capital Admitido,Fecha,Hora,Cierre,Ref.,% Dif.,Últ.,Máx.,Mín.,Medio,Volumen,Efectivo
IBERDROLA,"10,1250","-0,93","10,2800","10,0750",16.866.396,"171.302,24",30/10/2020,Cierre,ES0144580Y14,IBE,"0,75",Mercado Continuo,"4.762.545.750,00 Euros",30/10/2020,Cierre,"10,1250","10,2200","-0,93","10,1250","10,2800","10,0750","10,1466",16.866.396,"171.302.243,11"
INDITEX,"21,1900","-0,84","21,5000","21,0200",8.591.109,"181.996,43",30/10/2020,Cierre,ES0148396007,ITX,"0,03",Mercado Continuo,"93.499.560,00 Euros",30/10/2020,Cierre,"21,1900","21,3700","-0,84","21,1900","21,5000","21,0200","21,2306",8.591.109,"181.996.428,11"
INDRA A,"5,1500","0,39","5,3000","5,0300",1.076.498,"5.555,21",30/10/2020,Cierre,ES0118594417,IDR,"0,20",Mercado Continuo,"35.330.880,40 Euros",30/10/2020,Cierre,"5,1500","5,1300","0,39","5,1500","5,3000","5,0300","5,1604",1.076.498,"5.555.205,67"
INM.COLONIAL,"6,1050","2,09","6,1050","5,8800",883.479,"5.352,94",30/10/2020,Cierre,ES0139140174,COL,"2,50",Mercado Continuo,"1.270.286.952,50 Euros",30/10/2020,Cierre,"6,1050","5,9800","2,09","6,1050","6,1050","5,8800","6,0546",883.479,"5.352.937,65"
MAPFRE,"1,2940","0,86","1,2990","1,2430",7.018.585,"8.982,68",30/10/2020,Cierre,ES0124244E34,MAP,"0,10",Mercado Continuo,"307.955.327,30 Euros",30/10/2020,Cierre,"1,2940","1,2830","0,86","1,2940","1,2990","1,2430","1,2798",7.018.585,"8.982.683,41"
MELIA HOTELS,"3,1800","3,52","3,1800","3,0000",1.579.150,"4.913,43",30/10/2020,Cierre,ES0176252718,MEL,"0,20",Mercado Continuo,"44.080.000,00 Euros",30/10/2020,Cierre,"3,1800","3,0720","3,52","3,1800","3,1800","3,0000","3,1114",1.579.150,"4.913.432,27"
MERLIN,"5,7750","0,52","5,7900","5,6250",1.306.089,"7.473,92",30/10/2020,Cierre,ES0105025003,MRL,"1,00",Mercado Continuo,"469.770.750,00 Euros",30/10/2020,Cierre,"5,7750","5,7450","0,52","5,7750","5,7900","5,6250","5,7184",1.306.089,"7.473.916,84"
NATURGY,"15,9500","0,38","16,0100","15,6650",1.450.382,"23.052,60",30/10/2020,Cierre,ES0116870314,NTGY,"1,00",Mercado Continuo,"969.613.801,00 Euros",30/10/2020,Cierre,"15,9500","15,8900","0,38","15,9500","16,0100","15,6650","15,8942",1.450.382,"23.052.603,38"
PHARMA MAR,"115,1000","1,50","117,3000","111,7000",165.337,"18.976,93",30/10/2020,Cierre,ES0169501022,PHM,"0,60",Mercado Continuo,"11.132.464,20 Euros",30/10/2020,Cierre,"115,1000","113,4000","1,50","115,1000","117,3000","111,7000","114,7773",165.337,"18.976.931,00"
R.E.C.,"15,1250","0,10","15,1750","14,9700",1.219.765,"18.404,85",30/10/2020,Cierre,ES0173093024,REE,"0,50",Mercado Continuo,"270.540.000,00 Euros",30/10/2020,Cierre,"15,1250","15,1100","0,10","15,1250","15,1750","14,9700","15,0939",1.219.765,"18.404.854,03"
REPSOL,"5,3400","2,18","5,3680","5,1220",10.205.939,"53.939,64",30/10/2020,Cierre,ES0173516115,REP,"1,00",Mercado Continuo,"1.626.379.018,00 Euros",30/10/2020,Cierre,"5,3400","5,2260","2,18","5,3400","5,3680","5,1220","5,3070",10.205.939,"53.939.641,75"
SIEMENS GAME,"24,3300","-0,69","24,5800","24,0900",1.015.504,"24.755,88",30/10/2020,Cierre,ES0143416115,SGRE,"0,17",Mercado Continuo,"115.794.374,94 Euros",30/10/2020,Cierre,"24,3300","24,5000","-0,69","24,3300","24,5800","24,0900","24,3779",1.015.504,"24.755.875,82"
SOLARIA,"16,7000","1,64","16,7100","16,0700",660.821,"10.909,54",30/10/2020,Cierre,ES0165386014,SLR,"0,01",Mercado Continuo,"1.249.508,76 Euros",30/10/2020,Cierre,"16,7000","16,4300","1,64","16,7000","16,7100","16,0700","16,5091",660.821,"10.909.539,82"
TELEFONICA,"2,8060","-0,28","2,8550","2,7500",18.992.109,"55.385,55",30/10/2020,Cierre,ES0178430E18,TEF,"1,00",Mercado Continuo,"5.328.437.672,00 Euros",30/10/2020,Cierre,"2,8060","2,8140","-0,28","2,8060","2,8550","2,7500","2,7999",18.992.109,"55.385.551,29"
VISCOFAN,"57,9500","7,31","58,5000","54,5000",194.041,"11.099,15",30/10/2020,Cierre,ES0184262212,VIS,"0,70",Mercado Continuo,"32.550.000,00 Euros",30/10/2020,Cierre,"57,9500","54,0000","7,31","57,9500","58,5000","54,5000","57,2000",194.041,"11.099.151,50"
